Rank,Peak,Title,Worldwide gross,Year
1,1,Avatar,2923706026,2009
2,1,Avengers: Endgame,2797501328,2019
3,3,Avatar: The Way of Water,2320250281,2022
4,1,Titanic,2257844554,1997
5,3,Star Wars: The Force Awakens,2068223624,2015
6,4,Avengers: Infinity War,2048359754,2018
7,6,Spider-Man: No Way Home,1921847111,2021
8,3,Jurassic World,1671537444,2015
9,7,The Lion King,1656943394,2019
10,3,The Avengers,1518815515,2012
11,4,Furious 7,1515341399,2015
12,11,Top Gun: Maverick,1495696292,2022
13,10,Frozen II,1450026933,2019
14,14,Barbie,1427551529,2023
15,5,Avengers: Age of Ultron,1402809540,2015
16,15,The Super Mario Bros. Movie,1360764054,2023
17,9,Black Panther,1347280838,2018
18,3,Harry Potter and the Deathly Hallows – Part 2,1342139727,2011
19,9,Star Wars: The Last Jedi,1332539889,2017
20,12,Jurassic World: Fallen Kingdom,1308473425,2018
21,5,Frozen,1290000000,2013
22,10,Beauty and the Beast,1263521126,2017
23,15,Incredibles 2,1242805359,2018
24,11,The Fate of the Furious,1238764765,2017
25,5,Iron Man 3,1214811252,2013
26,10,Minions,1159444662,2015
27,12,Captain America: Civil War,1153337496,2016
28,20,Aquaman,1148528393,2018
29,2,The Lord of the Rings: The Return of the King,1147633833,2003
30,24,Spider-Man: Far From Home,1131927996,2019
31,23,Captain Marvel,1128274794,2019
32,5,Transformers: Dark of the Moon,1123794079,2011
33,7,Skyfall,1108569499,2012
34,10,Transformers: Age of Extinction,1104054072,2014
35,7,The Dark Knight Rises,1081169825,2012
36,31,Joker,1074458282,2019
37,32,Star Wars: The Rise of Skywalker,1074144248,2019
38,30,Toy Story 4,1073394593,2019
39,4,Toy Story 3,1066970811,2010
40,3,Pirates of the Caribbean: Dead Man's Chest,1066179747,2006
41,20,Rogue One: A Star Wars Story,1057420387,2016
42,34,Aladdin,1050693953,2019
43,6,Pirates of the Caribbean: On Stranger Tides,1045713802,2011
44,1,Jurassic Park,1037535230,1993
45,24,Despicable Me 3,1034800131,2017
46,22,Finding Dory,1028570942,2016
47,2,Star Wars: Episode I – The Phantom Menace,1027082707,1999
48,5,Alice in Wonderland,1025468216,2010
49,24,Zootopia,1023784195,2016
50,14,The Hobbit: An Unexpected Journey,1017030651,2012